HIP,RA_deg,Dec_deg,Vmag,BV
223,0.69641117,2.13037640,7.1700,0.6170
225,0.70006380,-15.04053128,9.0400,0.4890
226,0.70031218,-24.94525463,10.3000,0.2540
227,0.70416774,80.28651236,9.8600,0.4420
228,0.71015217,28.25189113,7.6400,0.5320
229,0.71393463,47.25228068,8.2700,0.1280
230,0.71569526,30.33651580,8.4400,0.4230
231,0.72341351,-58.78139077,9.5800,0.5000
232,0.73006132,-30.14977973,8.4300,0.0070
233,0.73197615,71.35854324,8.4900,1.1800
234,0.73358145,70.23800778,9.6400,0.3100
235,0.73646864,71.36804423,9.1700,1.2220
236,0.73781657,-0.89382979,8.0900,1.2600
237,0.73911220,-39.52732256,9.0000,0.9030
238,0.73927410,-20.04607402,6.2500,0.5260
239,0.74317400,3.38193739,8.5600,0.5210
240,0.74376859,9.79522025,10.8100,0.5650
241,0.75196696,9.13829706,8.7600,1.0100
242,0.75216595,-34.74405055,7.7600,0.9670
243,0.75337695,-60.69189462,7.8200,1.0410
244,0.75886478,39.99515242,7.9000,0.6680
245,0.76358207,-7.81552594,8.5200,1.0360
246,0.76368704,56.73318400,9.7300,0.9900
247,0.76552823,8.26141340,9.1900,0.3460
248,0.76575139,8.27080462,8.1000,0.3420
249,0.77419621,31.87010321,8.7500,0.5520
250,0.77431725,52.46516859,8.1400,0.8800
251,0.77540550,-25.26104885,8.6500,1.3490
252,0.77959051,29.48598254,10.3000,1.0820
253,0.78257245,-24.14513788,6.4600,1.1760
254,0.78466955,42.74791705,6.7300,0.0510
255,0.79452371,-24.58828778,7.9600,0.4210
256,0.79659523,54.51584355,9.5300,0.4610
257,0.80301496,-31.21239379,8.8700,0.0810
258,0.80532807,17.55239698,6.5900,1.1220
259,0.80590410,48.72233890,8.6500,1.4550
260,0.81709566,-55.40508846,9.6400,0.4320
261,0.82050122,-23.61534569,9.1500,0.4240
262,0.82579542,32.84586959,9.0400,0.4220
263,0.82923787,4.68713578,12.0400,1.4730
264,0.83207925,38.24401553,8.4200,1.1740
266,0.83535989,-11.94520986,8.0900,1.1250
265,0.83539281,-64.47608070,9.0600,1.6880
